date,compileTime,assembleTime,mean,stdev,median
09/25/17,300.734,0.047825,36.0326,0.0581949,35.9982
09/25/17,227.52,0.033326,33.0066,0.0512298,32.9721
09/26/17,297.519,0.1431,36.6221,0.0434529,36.5968
10/05/17,257.979,0.285634,35.1416,0.049022,35.1194
10/11/17,360.067,0.045816,36.0972,0.0469726,36.0647
10/12/17,241.603,0.046342,35.6551,0.612445,35.8388
10/13/17,238.315,0.035763,33.9135,0.0509772,33.8867
10/14/17,221.65,0.035179,33.1553,0.686003,32.8452
10/19/17,227.036,0.040874,35.1948,1.0306,34.2916
10/28/17,230.148,0.073002,35.7598,0.504579,36.062
10/31/17,219.955,0.036485,33.807,0.443486,34.0134
