date,compileTime,assembleTime,mean,stdev,median
09/25/17,107.927,0.039426,2.19052,0.0194172,2.18108
09/25/17,280.338,0.031992,2.1904,0.0164274,2.18277
09/25/17,205.522,0.025288,2.19439,0.020146,2.18414
09/26/17,401.843,0.190335,2.20809,0.0145917,2.20178
10/05/17,205.104,0.100682,2.21768,0.0203561,2.20632
10/11/17,234.84,0.038127,2.19212,0.0165773,2.18397
10/12/17,199.47,0.034265,2.19198,0.0179812,2.18208
10/13/17,199.541,0.027818,2.19762,0.0160767,2.19135
10/14/17,195.512,0.025694,2.1937,0.0179842,2.18301
10/19/17,196.866,0.042054,2.2673,0.0148145,2.25966
10/28/17,203.321,0.027964,2.26417,0.0155271,2.25765
